key,product,group,phase,electrons,M_g_per_mol,kg_per_mol_e,price_usd_per_kg,value_added_usd_per_kg,gwp_avoided_kg_per_kg,ppe_usd_per_mol_e,epe_kg_co2e_per_mol_e,E_cell_thermo_V,V_applied_ideal_V,bar_stack_usd_per_mol_e,bar_electricity_usd_per_mol_e,bar_dsp_usd_per_mol_e,bar_econ_usd_per_mol_e,clears_economic,ppe_over_bar,bar_climate_2020_kg_per_mol_e,clears_climate_2020,epe_over_bar_2020,bar_climate_2050_kg_per_mol_e,clears_climate_2050,epe_over_bar_2050,demonstration,demonstration_ref,price_source,gwp_source,market_note,verified
nickel,Nickel,modelled,solid,2,58.693,0.029346499999999998,16.0,16.0,12.0,0.46954399999999996,0.35215799999999997,-0.03999999999999998,0.24,0.03412728154366843,0.000473961403508772,0.0176079,0.052320051633451714,True,8.974455975112017,0.0193287429822968,True,18.21939483196303,0.003774580466331709,True,93.29725598411774,MEC nickel removal,Qin 2012,LME 2024-2025,class I nickel (config value; Nuss & Eckelman 6.5),~3 Mt/yr,no
selenium,Selenium,BES-demonstrated,solid,4,78.971,0.01974275,20.0,20.0,8.2,0.394855,0.16189055,0.48000000000000004,-0.28,0.03412728154366843,-0.0004727765000000001,0.01184565,0.04561106372994294,True,8.657000466770171,0.006653701585056852,True,24.33090031623604,0.001698473668409385,True,95.31531339641548,MFC selenite reduction,Catal 2009,indicative 2024,Nuss & Eckelman 2014 (flag),~3 kt/yr,no
copper,Copper,modelled,solid,2,63.546,0.031773,9.0,9.0,3.3,0.285957,0.1048509,0.56,-0.36000000000000004,0.03412728154366843,-0.0006078555000000001,0.019063800000000002,0.05269413472994294,True,5.426733002933392,0.011009675430292637,True,9.5235232558725,0.0024119598518655685,True,43.47124597405774,MFC copper recovery,ter Heijne 2010; Modin 2012,LME 2024-2025,primary copper (config value; Nuss & Eckelman 2.8),~25 Mt/yr,no
lead,Lead,modelled,solid,2,207.2,0.1036,2.1,2.1,1.7,0.21756,0.17612,0.09000000000000002,0.10999999999999999,0.03412728154366843,0.00021723230994152043,0.06215999999999999,0.09661542253988445,True,2.25181440271803,0.05124733948128268,True,3.4366662110200896,0.009002682931236804,True,19.563057073676628,BES lead recovery,Modin 2012,LME 2024-2025,primary lead (config value; Nuss & Eckelman 1.3),~12 Mt/yr,no
cadmium,Cadmium,BES-demonstrated,solid,2,112.41,0.056205,3.0,3.0,3.0,0.168615,0.168615,-0.18,0.38,0.03412728154366843,0.000750438888888889,0.033722999999999996,0.06871162911883183,True,2.4539514222314893,0.03409540857672761,True,4.945387283468161,0.0061932845843253,True,27.225456493110432,BES cadmium recovery,Modin 2012,indicative 2024,Nuss & Eckelman 2014,~0.02 Mt/yr,no
zinc,Zinc,modelled,solid,2,65.38,0.03269,2.8,2.8,3.5,0.09153199999999999,0.11441499999999999,-0.5399999999999999,0.74,0.03412728154366843,0.001461380994152047,0.019613999999999996,0.055313571224094985,True,1.6547837714034273,0.029478790252311548,True,3.881265106902691,0.005437106171462678,True,21.043363214152635,BES zinc recovery,Modin 2012,LME 2024-2025,primary zinc (config value; Nuss & Eckelman 3.1),~13 Mt/yr,no
manganese,Manganese (electrolytic),electrochemical,solid,2,54.938,0.027469,2.2,2.2,1.0,0.06043180000000001,0.027469,-0.96,1.16,0.03412728154366843,0.002290813450292398,0.0164814,0.05301040368023534,True,1.1399988644593495,0.034311122254671055,False,0.8005858798821546,0.006228617378842305,True,4.410128015457835,Industrial electrowinning,Botte 2014,electrolytic Mn metal 2024 (indicative),Nuss & Eckelman 2014,~1.5 Mt/yr EMM,no
sorbitol,Sorbitol,electrochemical,liquid,2,182.17,0.091085,1.1,0.6545000000000001,0.406,0.05961513250000001,0.03698051,-0.16999999999999998,0.37,0.03412728154366843,0.0007306904970760234,0.006901315267857143,0.04187019599487611,True,1.423808298086196,0.0739032210481221,False,0.5003910448763814,0.06610458246895852,False,0.5594243034114217,Electrocatalytic glucose hydrogenation,Akhade 2020; Kwon 2013,indicative 2024 (100 % basis),catalytic hydrogenation with SMR hydrogen vs glucose (indicative),~2 Mt/yr,no
succinic_acid,Succinic acid,BES-demonstrated,liquid,2,118.09,0.059045,2.5,0.9319999999999999,1.0499999999999998,0.05502994,0.06199724999999999,0.31000000000000005,-0.11000000000000004,0.032819408174412666,-0.0001857336250000001,0.004717710410353535,0.037462293646040715,True,1.4689420920124563,0.045252158790130365,True,1.3700396104311776,0.04459516679610605,True,1.3902235254205497,Electrically reduced neutral red drives fumarate reduction,Park 1999,specialty market (indicative),maleic anhydride hydrogenation route vs fumaric acid (indicative),~0.05 Mt/yr,no
chromium_vi,Chromium(VI) detoxification,BES-demonstrated,solid,3,51.996,0.017332,3.0,3.0,8.0,0.051996,0.138656,0.98,-0.78,0.03412728154366843,-0.0013170202500000002,0.0,0.03292116997994294,True,1.5794092382402662,-0.009791506147386235,True,-14.16084491117979,-0.00099516704616883,True,-139.3293724242523,MFC Cr(VI) reduction,Wang 2008,avoided treatment cost (indicative),avoided treatment burden (indicative),service (avoided treatment),no
propanediol_13,"1,3-Propanediol",BES-demonstrated,liquid,2,76.09,0.038045,2.0,1.274,2.79,0.048469330000000005,0.10614555,-0.12,0.32,0.03189977555094717,0.000631948538011696,0.0030424695254513538,0.03568510230068473,True,1.358251115314022,0.036354316678475655,True,2.9197509318844035,0.03016023132302549,True,3.5193877945811503,Glycerol reduction on mixed-culture biocathode,Zhou 2015,bio-PDO 2024 (indicative),petro-PDO via acrolein/EO hydroformylation vs crude glycerol (indicative),~0.2 Mt/yr,no
adiponitrile,Adiponitrile,electrochemical,liquid,2,108.14,0.05407,2.6,0.8360000000000001,1.374,0.04520252,0.07429218,-0.72,0.9199999999999999,0.03412728154366843,0.0018168520467836257,0.0034330147948073704,0.03948805707153394,True,1.144713702123002,0.049776533586095406,True,1.4925141356318312,0.035074405323282605,True,2.118130851121926,Industrial electrohydrodimerisation (Monsanto/Asahi),Botte 2014,indicative 2024,butadiene hydrocyanation vs acrylonitrile feed (indicative),~1.5 Mt/yr,no
glycolic_acid,Glycolic acid,electrochemical,liquid,4,76.05,0.019012499999999998,3.0,2.056,0.6400000000000001,0.0390897,0.012168000000000002,-0.16999999999999998,0.37,0.032819408174412666,0.0007306904970760234,0.001440536383928571,0.03510154374169177,True,1.1136176883745232,0.021793361122632735,False,0.5583351705838229,0.015308809417643243,False,0.794836467555505,Electroreduction of oxalic acid,Schuler 2021,indicative 2024 (100 % basis),formaldehyde carbonylation route vs oxalic acid (indicative),~0.1 Mt/yr,no
propanediol_12,"1,2-Propanediol",electrochemical,liquid,2,76.09,0.038045,1.7,0.974,2.49,0.037055830000000005,0.09473205000000001,-0.16999999999999998,0.37,0.03412728154366843,0.0007306904970760234,0.0030417120885678395,0.03801059281558681,False,0.9748816646922883,0.0372077033387723,True,2.5460332538526895,0.03029387074690848,True,3.127102864848247,Electrocatalytic glycerol reduction,Akhade 2020,propylene glycol 2024 (indicative),propylene oxide hydration vs crude glycerol (indicative),~2.5 Mt/yr,no
oxalic_acid,Oxalic acid,electrochemical,liquid,2,90.03,0.045015,0.8,0.8,2.0,0.036012,0.09003,-0.19999999999999996,0.39999999999999997,0.06795220446994414,0.0007899356725146199,0.005819325492424242,0.07599311442115751,False,0.47388503911577773,0.06739859958236802,True,1.335784431098959,0.05876264384517125,True,1.5320958028575515,CO2 electroreduction to oxalate (non-aqueous),Boor 2022,indicative 2024,nitric-acid oxidation of carbohydrates (indicative),~0.4 Mt/yr,no
hydrogen_peroxide,Hydrogen peroxide,modelled,liquid,2,34.015,0.017007500000000002,1.2,1.2,1.4648,0.020409,0.024912586000000004,0.561,-0.36100000000000004,0.04808672476351466,-0.0006095439875000001,0.016315051785714286,0.06390314124800345,False,0.31937397131690526,0.16548449043005742,False,0.1505433284730051,0.1606865189068784,False,0.15503843240538076,BES cathodic ORR,Rozendal 2009,bulk industrial 100 % basis,ecoinvent 3.7 (100 % basis),~5 Mt/yr,yes
caustic_soda,Caustic soda,modelled,liquid,1,39.997,0.039997,0.5,0.5,1.1,0.0199985,0.0439967,-0.5479999999999999,0.748,0.032819408174412666,0.0014771797076023395,0.012375738416666665,0.04678323498495618,False,0.42747150782605786,0.14220365606419588,False,0.3093921859515222,0.1242234729756995,False,0.354173804242348,BES caustic production,Rabaey 2010,caustic 100 % basis,chlor-alkali mass allocation,~80 Mt/yr,no
furfuryl_alcohol,Furfuryl alcohol,electrochemical,liquid,2,98.1,0.049049999999999996,1.7,0.32800000000000007,0.54,0.016088400000000003,0.026487,-0.21999999999999997,0.42,0.03412728154366843,0.000829432456140351,0.003914114923469387,0.03898173760955268,False,0.4127163381259191,0.04642107282557036,False,0.5705813844399138,0.038566505025941486,False,0.6867876667119229,Electrocatalytic furfural hydrogenation,Akhade 2020,indicative 2024,catalytic hydrogenation vs furfural (indicative),~0.3 Mt/yr,no
formic_acid,Formic acid,modelled,liquid,2,46.025,0.023012499999999998,0.65,0.65,2.5,0.014958125,0.05753124999999999,-0.14999999999999997,0.35,0.06795220446994414,0.0006911937134502923,0.01801224473039216,0.0874265501000611,False,0.17109362067793116,0.17666343716472394,False,0.32565453793563914,0.16311958533719456,False,0.3526936994173544,Abiotic CO2 electrolysis (Sn/Bi); microbial formate,Jouny 2018,formic acid 85 % grade,methyl formate route,~1 Mt/yr,no
caproic_acid,Caproic acid,BES-demonstrated,liquid,32,116.16,0.00363,2.5,2.5,3.5,0.009075,0.012705,-0.019999999999999962,0.21999999999999997,0.03189977555094717,0.00043446461988304086,0.0040420966666666665,0.03673444852377139,False,0.24704331668753476,0.044291971248667905,False,0.2868465692951543,0.03848002047744649,False,0.33017134196813963,Bioelectrochemical chain elongation from CO2,Jourdin 2018,specialty market (indicative),indicative,small,no
butyric_acid,Butyric acid,BES-demonstrated,liquid,20,88.106,0.004405299999999999,2.0,2.0,3.0,0.008810599999999998,0.013215899999999997,-0.019999999999999962,0.21999999999999997,0.03189977555094717,0.00043446461988304086,0.004905412794949494,0.03761487965205421,False,0.23423177427390324,0.052580533496542306,False,0.2513458712028678,0.046376774826647954,False,0.2849680696728006,Microbial electrosynthesis from CO2,Ganigue 2015,specialty market 2024 (indicative),petrochemical butyraldehyde route (indicative),~0.1 Mt/yr,no
carbon_monoxide,Carbon monoxide,modelled,gas,2,28.01,0.014005,0.6,0.6,1.6,0.008402999999999999,0.022408,-0.24,0.44,0.06795220446994414,0.0008689292397660822,0.008402999999999999,0.07799509804598474,False,0.10773754005727021,0.017711630846913545,True,1.2651573530229066,0.0047098212664488616,True,4.757717699316287,Abiotic CO2 electrolysis (Ag),Jouny 2018,merchant CO,syngas / partial oxidation,merchant/syngas,no
propanol,n-Propanol,electrochemical,liquid,18,60.1,0.003338888888888889,1.6,1.6,2.5,0.005342222222222223,0.008347222222222223,-0.03999999999999998,0.24,0.06795220446994414,0.000473961403508772,0.0014524166666666667,0.0702094572263941,False,0.07608978096776828,0.01320733184879287,False,0.6320142719049757,0.008941793075578566,False,0.9335065295818342,Abiotic CO2 electrolysis (Cu),Jouny 2018,indicative 2024,hydroformylation route (indicative),~0.2 Mt/yr,no
acetic_acid,Acetic acid,modelled,liquid,8,60.052,0.0075065,0.55,0.55,1.6,0.004128575000000001,0.012010400000000001,0.0,0.2,0.03189977555094717,0.00039496783625730996,0.007123232516414141,0.039859020459893126,False,0.10357943954378528,0.07264809690934448,False,0.16532298175666515,0.0658038648841027,False,0.18251815484019612,Microbial electrosynthesis from CO2,Nevin 2010,acetic acid 2024,methanol carbonylation,~15 Mt/yr,no
ethanol,Ethanol,modelled,liquid,12,46.068,0.003839,0.8,0.8,1.4,0.0030712,0.005374599999999999,-0.02999999999999997,0.22999999999999998,0.03189977555094717,0.0004542130116959064,0.001669965,0.034354952118917585,False,0.08939613681804089,0.012490097194510774,False,0.43030890122793136,0.008368586184825322,False,0.6422351256590642,BES mediated acetate reduction; CO2 electrolysis (Cu),Steinbusch 2010; Jouny 2018,fuel ethanol 2024,ethylene hydration,large (fuel),no
ethylene,Ethylene,electrochemical,gas,12,28.054,0.0023378333333333333,1.1,1.1,1.5,0.002571616666666667,0.00350675,-0.06,0.26,0.06795220446994414,0.000513458187134503,0.0014027,0.07019928483835317,False,0.03663308924853422,0.008777543553401303,False,0.3995138250998632,0.0032464635714332716,True,1.0801753732452373,Abiotic CO2 electrolysis (Cu),Jouny 2018,ethylene 2024,steam cracking (indicative),~200 Mt/yr,no
methanol,Methanol,modelled,liquid,6,32.042,0.005340333333333333,0.45,0.45,0.8,0.00240315,0.004272266666666667,-0.09999999999999998,0.3,0.06795220446994414,0.0005924517543859651,0.002323045,0.07119857824060462,False,0.03375278073501588,0.01780334147090166,False,0.23996993337736025,0.012673636116514238,False,0.33709873215467645,Abiotic CO2 electrolysis (low selectivity),Jouny 2018,methanol 2024,natural-gas methanol,~100 Mt/yr,no
hydrogen,Hydrogen,modelled,gas,2,2.016,0.001008,2.0,2.0,11.0,0.002016,0.011088,-0.13399999999999995,0.33399999999999996,0.032819408174412666,0.0006595962865497077,0.0006048,0.034194713147236884,False,0.05895648228775692,0.007935298606005208,True,1.397300914625811,0.0018944378587637952,True,5.852923572397045,BES pilots on domestic wastewater,Heidrich 2013; Heidrich 2014,US industrial grey H2 gate price 2024,IEA 2019 SMR,large; grey H2 ~90 Mt/yr,no
ammonia_nitrate,Ammonia (from nitrate),electrochemical,liquid,8,17.031,0.0021288749999999997,0.55,0.55,2.4,0.00117088125,0.005109299999999999,0.08000000000000002,0.12,0.03412728154366843,0.000236980701754386,0.0020181735,0.03649334443169733,False,0.03208478883571433,0.02457720123760441,False,0.20788778797898688,0.02099663626579234,False,0.24333897750679503,Electrocatalytic nitrate reduction,van Langevelde 2021,ammonia 2024,Haber-Bosch (indicative),~180 Mt/yr,no
methane,Methane,modelled,gas,8,16.043,0.0020053749999999998,0.25,0.25,0.8,0.0005013437499999999,0.0016043,0.040000000000000036,0.15999999999999998,0.03189977555094717,0.00031597426900584793,0.0012032249999999998,0.03369496597622753,False,0.014878891712005526,0.005453718818906508,False,0.2941662475223958,0.0015019226434370442,True,1.0681642007398413,Electromethanogenesis on biocathodes,Cheng 2009,US industrial natural gas 2024,natural-gas supply incl. upstream methane,large,no
