key,product,group,phase,formula,M_g_per_mol,electrons_per_mol,half_reaction,E_cathode_V_SHE,cathode_class,dsp_class,catholyte_wt_pct,product_wt_pct,price_usd_per_kg,feedstock,feedstock_kg_per_kg,feedstock_usd_per_kg,co2_kg_per_kg,gwp_conventional_kg_per_kg,gwp_feedstock_kg_per_kg,market_note,demonstration,demonstration_ref,price_source,gwp_source,verified
propanediol_13,"1,3-Propanediol",BES-demonstrated,liquid,C3H8O2,76.09,2,"glycerol + 2 H+ + 2 e- -> 1,3-PDO + H2O",-0.40,biocathode_felt,liquid_organic,20,99.7,2.00,glycerol,1.21,0.60,0,4.0,1.0,~0.2 Mt/yr,Glycerol reduction on mixed-culture biocathode,Zhou 2015,bio-PDO 2024 (indicative),petro-PDO via acrolein/EO hydroformylation vs crude glycerol (indicative),no
succinic_acid,Succinic acid,BES-demonstrated,liquid,C4H6O4,118.09,2,fumarate + 2 H+ + 2 e- -> succinate,0.03,ss_mesh,liquid_organic,20,99,2.50,fumaric acid,0.98,1.60,0,3.5,2.5,~0.05 Mt/yr,Electrically reduced neutral red drives fumarate reduction,Park 1999,specialty market (indicative),maleic anhydride hydrogenation route vs fumaric acid (indicative),no
cobalt,Cobalt,BES-demonstrated,solid,Co,58.933,2,Co2+ + 2 e- -> Co,-0.35,metal_plate,solid_metal,,,27.0,waste stream,0,0,0,8.3,0,~0.2 Mt/yr,MEC cobalt recovery with HER,Jiang 2014,LME 2024-2025,Nuss & Eckelman 2014,no
cadmium,Cadmium,BES-demonstrated,solid,Cd,112.41,2,Cd2+ + 2 e- -> Cd,-0.46,metal_plate,solid_metal,,,3.00,waste stream,0,0,0,3.0,0,~0.02 Mt/yr,BES cadmium recovery,"Modin 2012",indicative 2024,Nuss & Eckelman 2014,no
silver,Silver,BES-demonstrated,solid,Ag,107.87,1,Ag+ + e- -> Ag,0.62,metal_plate,solid_metal,,,950,waste stream,0,0,0,196,0,~30 kt/yr,MFC silver recovery,Choi 2012,LBMA 2024-2025 (~$30/oz),Nuss & Eckelman 2014 (ecoinvent 3.7: 444),no
gold,Gold,BES-demonstrated,solid,Au,196.97,3,Au3+ + 3 e- -> Au,1.0,metal_plate,solid_metal,,,80000,waste stream,0,0,0,12500,0,~3.5 kt/yr,MFC gold recovery,Choi 2013,LBMA 2024-2025 (~$2500/oz),Nuss & Eckelman 2014,no
selenium,Selenium,BES-demonstrated,solid,Se,78.971,4,SeO3^2- + 6 H+ + 4 e- -> Se + 3 H2O,0.2,metal_plate,solid_metal,,,20.0,waste stream,0,0,0,8.2,0,~3 kt/yr,MFC selenite reduction,Catal 2009,indicative 2024,Nuss & Eckelman 2014 (flag),no
uranium,Uranium,BES-demonstrated,solid,U,238.03,2,UO2^2+ + 2 e- -> UO2,0.1,metal_plate,solid_metal,,,200,groundwater,0,0,0,70,0,~50 kt/yr U,Electrode-driven U(VI) reduction and recovery,Gregory 2005,U3O8 spot 2024 (~$80/lb) as U,indicative (flag),no
vanadium,Vanadium (as V2O5-equivalent),BES-demonstrated,solid,V,50.942,1,VO2+ + 2 H+ + e- -> VO2+ + H2O (V(V) -> V(IV)),0.6,metal_plate,solid_metal,,,18.0,waste stream,0,0,0,33.1,0,~0.1 Mt/yr,MFC vanadium(V) reduction,Zhang 2012; Wang & Ren 2014,V2O5 2024 as V (indicative),Nuss & Eckelman 2014,no
chromium_vi,Chromium(VI) detoxification,BES-demonstrated,solid,Cr,51.996,3,CrO4^2- + 8 H+ + 3 e- -> Cr3+ + 4 H2O,0.7,metal_plate,none,,,3.00,waste stream,0,0,0,8.0,0,service (avoided treatment),MFC Cr(VI) reduction,Wang 2008,avoided treatment cost (indicative),avoided treatment burden (indicative),no
ethylene,Ethylene,electrochemical,gas,C2H4,28.054,12,2 CO2 + 12 H+ + 12 e- -> C2H4 + 4 H2O,-0.34,gde_catalyst,gas,,,1.10,none,0,0,3.137,1.5,0,~200 Mt/yr,Abiotic CO2 electrolysis (Cu),Jouny 2018,ethylene 2024,steam cracking (indicative),no
propanol,n-Propanol,electrochemical,liquid,C3H7OH,60.10,18,3 CO2 + 18 H+ + 18 e- -> C3H8O + 5 H2O,-0.32,gde_catalyst,liquid_distill,1.0,99,1.60,none,0,0,2.196,2.5,0,~0.2 Mt/yr,Abiotic CO2 electrolysis (Cu),Jouny 2018,indicative 2024,hydroformylation route (indicative),no
oxalic_acid,Oxalic acid,electrochemical,liquid,H2C2O4,90.03,2,2 CO2 + 2 H+ + 2 e- -> H2C2O4,-0.48,gde_catalyst,liquid_organic,10,99,0.80,none,0,0,0.978,2.0,0,~0.4 Mt/yr,CO2 electroreduction to oxalate (non-aqueous),Boor 2022,indicative 2024,nitric-acid oxidation of carbohydrates (indicative),no
glycolic_acid,Glycolic acid,electrochemical,liquid,C2H4O3,76.05,4,H2C2O4 + 4 H+ + 4 e- -> C2H4O3 + H2O,-0.45,ss_mesh,liquid_organic,20,70,3.00,oxalic acid,1.18,0.80,0,3.0,2.0,~0.1 Mt/yr,Electroreduction of oxalic acid,Schuler 2021,indicative 2024 (100 % basis),formaldehyde carbonylation route vs oxalic acid (indicative),no
adiponitrile,Adiponitrile,electrochemical,liquid,C6H8N2,108.14,2,2 acrylonitrile + 2 H+ + 2 e- -> adiponitrile,-1.0,metal_plate,liquid_organic,30,99.5,2.60,acrylonitrile,0.98,1.80,0,5.0,3.7,~1.5 Mt/yr,Industrial electrohydrodimerisation (Monsanto/Asahi),Botte 2014,indicative 2024,butadiene hydrocyanation vs acrylonitrile feed (indicative),no
sorbitol,Sorbitol,electrochemical,liquid,C6H14O6,182.17,2,glucose + 2 H+ + 2 e- -> sorbitol,-0.45,metal_plate,liquid_organic,20,70,1.10,glucose,0.99,0.45,0,1.0,0.6,~2 Mt/yr,Electrocatalytic glucose hydrogenation,Akhade 2020; Kwon 2013,indicative 2024 (100 % basis),catalytic hydrogenation with SMR hydrogen vs glucose (indicative),no
furfuryl_alcohol,Furfuryl alcohol,electrochemical,liquid,C5H6O2,98.10,2,furfural + 2 H+ + 2 e- -> furfuryl alcohol,-0.50,metal_plate,liquid_organic,20,98,1.70,furfural,0.98,1.40,0,2.5,2.0,~0.3 Mt/yr,Electrocatalytic furfural hydrogenation,Akhade 2020,indicative 2024,catalytic hydrogenation vs furfural (indicative),no
propanediol_12,"1,2-Propanediol",electrochemical,liquid,C3H8O2,76.09,2,"glycerol + 2 H+ + 2 e- -> 1,2-PDO + H2O",-0.45,metal_plate,liquid_organic,20,99.5,1.70,glycerol,1.21,0.60,0,3.7,1.0,~2.5 Mt/yr,Electrocatalytic glycerol reduction,Akhade 2020,propylene glycol 2024 (indicative),propylene oxide hydration vs crude glycerol (indicative),no
ammonia_nitrate,Ammonia (from nitrate),electrochemical,liquid,NH3,17.031,8,NO3- + 9 H+ + 8 e- -> NH3 + 3 H2O,-0.2,metal_plate,liquid_evap,1.0,25,0.55,none,0,0,0,2.4,0,~180 Mt/yr,Electrocatalytic nitrate reduction,van Langevelde 2021,ammonia 2024,Haber-Bosch (indicative),no
tin,Tin,electrochemical,solid,Sn,118.71,2,Sn2+ + 2 e- -> Sn,-0.20,metal_plate,solid_metal,,,31.0,waste stream,0,0,0,17.1,0,~0.4 Mt/yr,Electrowinning from e-waste leachates,Zhang & Xu 2016,LME 2024-2025,Nuss & Eckelman 2014,no
manganese,Manganese (electrolytic),electrochemical,solid,Mn,54.938,2,Mn2+ + 2 e- -> Mn,-1.24,metal_plate,solid_metal,,,2.20,waste stream,0,0,0,1.0,0,~1.5 Mt/yr EMM,Industrial electrowinning,Botte 2014,electrolytic Mn metal 2024 (indicative),Nuss & Eckelman 2014,no
indium,Indium,electrochemical,solid,In,114.82,3,In3+ + 3 e- -> In,-0.40,metal_plate,solid_metal,,,280,waste stream,0,0,0,102,0,~1 kt/yr,Electrowinning from ITO etching waste,Zhang & Xu 2016,USGS MCS 2025 (indicative),Nuss & Eckelman 2014,no
gallium,Gallium,electrochemical,solid,Ga,69.723,3,Ga(OH)4- + 3 e- -> Ga + 4 OH-,-1.2,metal_plate,solid_metal,,,450,waste stream,0,0,0,205,0,~0.7 kt/yr,Industrial electrowinning from Bayer liquor,Moskalyk 2003,USGS MCS 2025 (indicative),Nuss & Eckelman 2014,no
palladium,Palladium,electrochemical,solid,Pd,106.42,2,Pd2+ + 2 e- -> Pd,0.85,metal_plate,solid_metal,,,33000,waste stream,0,0,0,3880,0,~0.2 kt/yr,Electrochemical recovery from spent-catalyst leachates,Zhang & Xu 2016,LPPM 2024-2025 (~$1000/oz),Nuss & Eckelman 2014,no
platinum,Platinum,electrochemical,solid,Pt,195.08,2,PtCl4^2- + 2 e- -> Pt + 4 Cl-,0.7,metal_plate,solid_metal,,,31000,waste stream,0,0,0,12500,0,~0.2 kt/yr,Electrochemical recovery from spent-catalyst leachates,Zhang & Xu 2016,LPPM 2024-2025 (~$970/oz),Nuss & Eckelman 2014,no
